"table","row","col","alpha","c0","cell","design_hr","n","value","count","denominator","source_column","source_payload"
"S4","claim_threshold","B1",0.1,,"B1","0.657","500",5e-04,1,2000,"declared_cal10","declcal_inull_B1_res_1_2000.rds"
"S4","claim_threshold","B2",0.1,,"B2","0.657","1000",0,0,2000,"declared_cal10","declcal_inull_B2_res_1_2000.rds"
"S4","claim_threshold","B3",0.1,,"B3","0.657","1500",0,0,2000,"declared_cal10","declcal_inull_B3_res_1_2000.rds"
"S4","claim_threshold","B4",0.1,,"B4","0.721","500",5e-04,1,2000,"declared_cal10","declcal_inull_B4_res_1_2000.rds"
"S4","claim_threshold","B5",0.1,,"B5","0.721","1000",0,0,2000,"declared_cal10","declcal_inull_B5_res_1_2000.rds"
"S4","claim_threshold","B6",0.1,,"B6","0.721","1500",0,0,2000,"declared_cal10","declcal_inull_B6_res_1_2000.rds"
"S4","claim_threshold","max_B",0.1,,"B1;B4","0.657;0.721","500",5e-04,1,2000,"declared_cal10","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
"S4","claim_threshold","C1",0.1,,"C1","1.5","1000",0.0825,165,2000,"declared_cal10","declcal_power_C1_res_1_2000.rds"
"S4","claim_threshold","C2",0.1,,"C2","1.5","1500",0.1445,289,2000,"declared_cal10","declcal_power_C2_res_1_2000.rds"
"S4","claim_threshold","C3",0.1,,"C3","2","1000",0.4475,895,2000,"declared_cal10","declcal_power_C3_res_1_2000.rds"
"S4","claim_threshold","C4",0.1,,"C4","2","1500",0.7255,1451,2000,"declared_cal10","declcal_power_C4_res_1_2000.rds"
"S4","conventional","implied_pstar",0.1,,"B1;B2;B3;B4;B5;B6;C1;C2;C3;C4",,,0.9,,10,"meta$p_star","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S4","fixed_k2.0","implied_pstar",0.1,,,,,0.954499736103642,,,"2*pnorm(2.0)-1",
"S4","claim_threshold","implied_pstar_pooled_median_allcells_alln",0.1,,"B1;B2;B3;B4;B5;B6;C1;C2;C3;C4",,,0.999158693548859,,20000,"2*pnorm(kappa_hat_10)-1","declcal_inull_B1_res_1_2000.rds;declcal_inull_B2_res_1_2000.rds;declcal_inull_B3_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds;declcal_inull_B5_res_1_2000.rds;declcal_inull_B6_res_1_2000.rds;declcal_power_C1_res_1_2000.rds;declcal_power_C2_res_1_2000.rds;declcal_power_C3_res_1_2000.rds;declcal_power_C4_res_1_2000.rds"
"S4","claim_threshold","implied_pstar_median_of_cell_medians_allcells_alln",0.1,,"B1;B2;B3;B4;B5;B6;C1;C2;C3;C4",,,0.999159943981627,,10,"2*pnorm(kappa_hat_10)-1","declcal_inull_B1_res_1_2000.rds;declcal_inull_B2_res_1_2000.rds;declcal_inull_B3_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds;declcal_inull_B5_res_1_2000.rds;declcal_inull_B6_res_1_2000.rds;declcal_power_C1_res_1_2000.rds;declcal_power_C2_res_1_2000.rds;declcal_power_C3_res_1_2000.rds;declcal_power_C4_res_1_2000.rds"
"S6","calibrated_c070","kappa_pooled_median_allcells",0.05,"c070","B1;B4","0.657;0.721","500",2.45045939684433,,4000,"kappa_hat_05_c070","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c070","level_pooled_median_allcells",0.05,"c070","B1;B4","0.657;0.721","500",0.985732594711549,,4000,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c070","kappa_median_of_cell_medians_allcells",0.05,"c070","B1;B4","0.657;0.721","500",2.45104456165665,,2,"kappa_hat_05_c070","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c070","level_median_of_cell_medians_allcells",0.05,"c070","B1;B4","0.657;0.721","500",0.985755768217121,,2,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c070","kappa_pooled_median_Bcells",0.05,"c070","B1;B4","0.657;0.721","500",2.45045939684433,,4000,"kappa_hat_05_c070","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
"S6","calibrated_c070","level_pooled_median_Bcells",0.05,"c070","B1;B4","0.657;0.721","500",0.985732594711549,,4000,"2*pnorm(kappa_hat_05_c070)-1","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds"
